RNQA,CORPODAGUA,PERIODO,PARAMETRO,N_VALIDO,MEDIA,MEDIANA,DESVIO_PADRAO,MINIMO,MAXIMO
MA-7181-I-4,RIO ITAPECURU,6.0,OXIGENIO_DISSOLVIDO,1,5.07,5.07,,5.07,5.07
MA-7181-I-4,RIO ITAPECURU,7.0,OXIGENIO_DISSOLVIDO,2,6.34,6.34,0.7495331880577407,5.81,6.87
MA-7181-I-4,RIO ITAPECURU,8.0,OXIGENIO_DISSOLVIDO,2,7.555,7.555,1.4354267658086919,6.54,8.57
MA-7181-I-4,RIO ITAPECURU,9.0,OXIGENIO_DISSOLVIDO,2,7.17,7.17,0.2262741699796954,7.01,7.33
MA-7181-I-4,RIO ITAPECURU,10.0,OXIGENIO_DISSOLVIDO,2,5.9,5.9,0.933380951166242,5.24,6.56
MA-7181-I-4,RIO ITAPECURU,,OXIGENIO_DISSOLVIDO,2,6.119999999999999,6.119999999999999,0.43840620433565985,5.81,6.43
MA-7182-I-2,RIO PERITORO,4.0,OXIGENIO_DISSOLVIDO,2,5.675000000000001,5.675000000000001,0.7424621202458751,5.15,6.2
MA-7182-I-2,RIO PERITORO,5.0,OXIGENIO_DISSOLVIDO,2,3.39,3.39,1.4990663761154808,2.33,4.45
MA-7182-I-2,RIO PERITORO,6.0,OXIGENIO_DISSOLVIDO,2,5.895,5.895,0.9121677477306467,5.25,6.54
MA-7182-I-2,RIO PERITORO,7.0,OXIGENIO_DISSOLVIDO,2,4.655,4.655,0.40305086527633227,4.37,4.94
